stormdate,Unnamed: 0,event_id,efscale,windspeed,injuries,deaths,lat,lon,office,dt_valid,inScanTime,valid_sites,radar_path
2023-04-20 01:47:00,129970,NE of Etowah,2.0,132,0.0,0.0,35.1744,-97.163,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129971,Etowah,1.0,107,0.0,0.0,35.137,-97.2126,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:47:00,129972,NE of Etowah,1.0,104,0.0,0.0,35.1742,-97.1744,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129973,Etowah,0.0,85,0.0,0.0,35.1388,-97.2126,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:47:00,129974,NE of Etowah,2.0,118,0.0,0.0,35.1735,-97.1772,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129975,Etowah,1.0,90,0.0,0.0,35.1404,-97.2129,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129976,Etowah,1.0,93,0.0,0.0,35.1402,-97.213,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129977,Etowah,1.0,87,0.0,0.0,35.145,-97.195,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129981,Etowah,0.0,85,0.0,0.0,35.1416,-97.1937,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129982,Etowah,1.0,93,0.0,0.0,35.1494,-97.1949,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129986,Etowah,0.0,60,0.0,0.0,35.1494,-97.1949,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129987,Etowah,1.0,97,0.0,0.0,35.1453,-97.201,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129988,Etowah,0.0,60,0.0,0.0,35.1373,-97.2115,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 02:04:00,129992,S of Pink,3.0,141,0.0,0.0,35.2301,-97.1066,OUN,2023-04-20 02:04:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020236_V06']
2023-04-20 00:30:00,129993,Cole-Goldsby,1.0,94,0.0,0.0,35.1188,-97.5401,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129994,Cole-Goldsby,0.0,50,0.0,0.0,35.0898,-97.5852,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129995,Cole-Goldsby,1.0,94,0.0,0.0,35.0898,-97.5854,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129996,Cole-Goldsby,1.0,97,0.0,0.0,35.0884,-97.6123,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129997,Cole-Goldsby,2.0,118,0.0,0.0,35.0878,-97.605,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129998,Cole-Goldsby,2.0,112,0.0,0.0,35.0935,-97.6051,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129999,Cole-Goldsby,2.0,127,0.0,0.0,35.0892,-97.5992,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130000,Cole-Goldsby,2.0,135,0.0,0.0,35.0903,-97.5992,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130001,Cole-Goldsby,2.0,118,0.0,0.0,35.0914,-97.5912,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130002,Cole-Goldsby,2.0,118,0.0,0.0,35.0879,-97.617,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 02:04:00,130003,S of Pink,3.0,141,0.0,0.0,35.2302,-97.1066,OUN,2023-04-20 02:04:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020236_V06']
2023-04-17 00:30:00,130004,,-1.0,90,0.0,0.0,35.0767,-97.6176,OUN,2023-04-17 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/17/KTLX/KTLX20230417_002954_V06']
2023-04-20 00:30:00,130005,Cole-Goldsby,1.0,108,0.0,0.0,35.0859,-97.6177,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130006,Cole-Goldsby,2.0,130,0.0,0.0,35.0868,-97.581,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130007,Cole-Goldsby,2.0,132,0.0,0.0,35.102,-97.5704,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130008,Cole-Goldsby,3.0,152,0.0,0.0,35.1021,-97.5697,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-17 00:30:00,130009,,-1.0,74,0.0,0.0,35.0804,-97.5823,OUN,2023-04-17 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/17/KTLX/KTLX20230417_002954_V06']
2023-04-20 00:30:00,130010,Cole-Goldsby,2.0,132,0.0,0.0,35.1019,-97.5695,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130011,Cole-Goldsby,2.0,112,0.0,0.0,35.1014,-97.5693,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130012,Cole-Goldsby,2.0,116,0.0,0.0,35.0979,-97.5675,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130013,Cole-Goldsby,0.0,83,0.0,0.0,35.1024,-97.5621,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130014,Cole-Goldsby,2.0,112,0.0,0.0,35.1169,-97.5429,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130015,Cole-Goldsby,2.0,135,0.0,0.0,35.1156,-97.5434,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-19 00:30:00,130016,,-1.0,65,0.0,0.0,35.0878,-97.6294,OUN,2023-04-19 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_002831_V06']
2023-04-20 00:30:00,130017,Cole-Goldsby,2.0,127,0.0,0.0,35.1152,-97.5435,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,130018,Cole-Goldsby,2.0,112,0.0,0.0,35.1153,-97.5437,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
